[run number],seed,regeneration-rate,num-turtles,search-radius,knowledge-gain,old-age,metabolism,shock-prob,reproduction-cost,[steps],variable,value
146,6,1,100,5,0.25,75,0.25,0,0.5,47,numTurtles,0
146,,,,,,,,,,47,meanFood,0
146,,,,,,,,,,47,totKnowledge,0
147,7,1,100,5,0.25,75,0.25,0,0.5,34,numTurtles,0
147,,,,,,,,,,34,meanFood,0
147,,,,,,,,,,34,totKnowledge,0
148,8,1,100,5,0.25,75,0.25,0,0.5,30,numTurtles,0
148,,,,,,,,,,30,meanFood,0
148,,,,,,,,,,30,totKnowledge,0
149,9,1,100,5,0.25,75,0.25,0,0.5,45,numTurtles,0
149,,,,,,,,,,45,meanFood,0
149,,,,,,,,,,45,totKnowledge,0
150,10,1,100,5,0.25,75,0.25,0,0.5,56,numTurtles,0
150,,,,,,,,,,56,meanFood,0
150,,,,,,,,,,56,totKnowledge,0
151,1,0.2,100,5,0.5,75,0.25,0,0.5,38,numTurtles,0
151,,,,,,,,,,38,meanFood,0
151,,,,,,,,,,38,totKnowledge,0
152,2,0.2,100,5,0.5,75,0.25,0,0.5,147,numTurtles,0
152,,,,,,,,,,147,meanFood,0
152,,,,,,,,,,147,totKnowledge,0
153,3,0.2,100,5,0.5,75,0.25,0,0.5,63,numTurtles,0
153,,,,,,,,,,63,meanFood,0
153,,,,,,,,,,63,totKnowledge,0
154,4,0.2,100,5,0.5,75,0.25,0,0.5,66,numTurtles,0
154,,,,,,,,,,66,meanFood,0
154,,,,,,,,,,66,totKnowledge,0
155,5,0.2,100,5,0.5,75,0.25,0,0.5,92,numTurtles,0
155,,,,,,,,,,92,meanFood,0
155,,,,,,,,,,92,totKnowledge,0
156,6,0.2,100,5,0.5,75,0.25,0,0.5,47,numTurtles,0
156,,,,,,,,,,47,meanFood,0
156,,,,,,,,,,47,totKnowledge,0
157,7,0.2,100,5,0.5,75,0.25,0,0.5,34,numTurtles,0
157,,,,,,,,,,34,meanFood,0
157,,,,,,,,,,34,totKnowledge,0
158,8,0.2,100,5,0.5,75,0.25,0,0.5,39,numTurtles,0
158,,,,,,,,,,39,meanFood,0
158,,,,,,,,,,39,totKnowledge,0
159,9,0.2,100,5,0.5,75,0.25,0,0.5,45,numTurtles,0
159,,,,,,,,,,45,meanFood,0
159,,,,,,,,,,45,totKnowledge,0
160,10,0.2,100,5,0.5,75,0.25,0,0.5,56,numTurtles,0
160,,,,,,,,,,56,meanFood,0
160,,,,,,,,,,56,totKnowledge,0
161,1,0.5,100,5,0.5,75,0.25,0,0.5,38,numTurtles,0
161,,,,,,,,,,38,meanFood,0
161,,,,,,,,,,38,totKnowledge,0
162,2,0.5,100,5,0.5,75,0.25,0,0.5,147,numTurtles,0
162,,,,,,,,,,147,meanFood,0
162,,,,,,,,,,147,totKnowledge,0
163,3,0.5,100,5,0.5,75,0.25,0,0.5,63,numTurtles,0
163,,,,,,,,,,63,meanFood,0
163,,,,,,,,,,63,totKnowledge,0
164,4,0.5,100,5,0.5,75,0.25,0,0.5,66,numTurtles,0
164,,,,,,,,,,66,meanFood,0
164,,,,,,,,,,66,totKnowledge,0
165,5,0.5,100,5,0.5,75,0.25,0,0.5,92,numTurtles,0
165,,,,,,,,,,92,meanFood,0
